,id,listing_name,building_name,apartment_number,address,add_lat,add_long,property_management_name,monthly_rent,property_type,bedroom_count,bathroom_count,utility_water,utility_heat,utility_electricity,utility_laundry,utility_wifi,included_appliances,parking_availability,parking_rates,parking_slots,parking_distance,parking_restrictions,parking_availability_status,parking_address,pet_friendly,smoking_allowed,apartment_size,apartment_size_unit,is_furnished,lease_duration,availability_status,dist_hospital,dist_school,dist_restaurant,dist_downtown,dist_busstop,dist_larry_uteck_area,dist_central_halifax,dist_clayton_park,dist_rockingham,source,website,image,description,property_image,load_datetime
0,1,The Cliffs at Dellridge,The Cliffs at Dellridge,-1,"81 Dellridge Ln , Bedford , NS B4A 4H6 – Bedford",44.7009604,-63.69002860000001,https://images1.apartments.com/i2/x1vMq99BZinsqHd_t_b91NUsiVbBO8WaoAmVadTOkXI/115/realstar-group-logo.jpg,-1.0,Apartment,2,1,-1,1,0,1,0,"Billiards, Heat and water included, Pet friendly, Hard Surface Flooring, Designer cabinetry, Energy Efficient Appliances, Resident events, Spacious 2-Bedroom + Den Suites, Air Conditioner, Two baths including one with shower, Custom blinds, Over-the-range microwave, Visitor parking, 100% smoke-free living, Ideal mature environment, In-suite Laundry, Pendent and recessed lighting, Beautifully landscaped grounds, In-suite Storage, Private Balcony/Patio, Secure entry, Package Service, 24 Hour Access, Guest Apartment, Clubhouse, Fitness Center, Waterfront",1,-1,-1,-1.0,-1,-1,,-1,-1,750,-1,-1,-1,-1,1.2030399529630846,0.1884917862968676,0.0726483934224124,6.713952933586702,0.3045065541791933,0.18985726147876605,5.025186796268299,3.542774289791845,2.9251661177899497,https://www.apartments.com/the-cliffs-at-dellridge-bedford-ns/c5l8yeg/,apartments.com,https://images1.apartments.com/i2/x1vMq99BZinsqHd_t_b91NUsiVbBO8WaoAmVadTOkXI/115/realstar-group-logo.jpg,"Billiards, Heat and water included, Pet friendly, Hard Surface Flooring, Designer cabinetry, Energy Efficient Appliances, Resident events, Spacious 2-Bedroom + Den Suites, Air Conditioner, Two baths including one with shower, Custom blinds, Over-the-range microwave, Visitor parking, 100% smoke-free living, Ideal mature environment, In-suite Laundry, Pendent and recessed lighting, Beautifully landscaped grounds, In-suite Storage, Private Balcony/Patio, Secure entry, Package Service, 24 Hour Access, Guest Apartment, Clubhouse, Fitness Center, Waterfront",,2024-03-25 02:33:03.256133
1,2,Lotus Point,Lotus Point,-1,"103 Ochterloney St , Dartmouth , NS B2Y 1C6 – Dartmouth",44.6683973,-63.5665261,https://images1.apartments.com/i2/CZpkA37fh4axG9QeyVss00nOnZGia1jHlS443gMFMGU/115/capreit-limited-partnership-logo.jpg,2750.0,Apartment,2,1,-1,0,0,0,0,"Storage Space, Fitness Center, Bicycle Storage, Roof Terrace",0,150,150,1.3227862738438714,-1,-1,"1815 Upper Water St, Downtown Halifax, Halifax, NS, B3J 1S7",-1,-1,-1,-1,-1,-1,-1,0.2576846775331065,1.1361116346525706,0.5757784734912264,1.6571413701186177,1.238048753230681,6.315912732767055,2.8670530814666177,3.966551877366983,3.878464284002701,https://www.apartments.com/lotus-point-dartmouth-ns/be1mcgb/,apartments.com,https://images1.apartments.com/i2/CZpkA37fh4axG9QeyVss00nOnZGia1jHlS443gMFMGU/115/capreit-limited-partnership-logo.jpg,"Storage Space, Fitness Center, Bicycle Storage, Roof Terrace",,2024-03-25 02:33:03.260202
2,3,Park Victoria Apartments,Park Victoria Apartments,-1,"1333 South Park St , Halifax , NS B3J 2K9 – Halifax",44.6405701,-63.57821449999999,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,2110.0,Apartment,1,1,-1,0,0,1,0,"Wheelchair Accessible (Rooms), Laundry Facilities, Elevator, Balcony",0,101,79,0.1682822919032682,-1,-1,"5765 University Ave, Downtown Halifax, Halifax, NS, B3H 4K4",-1,-1,614,-1,-1,-1,-1,0.1713522658105867,0.260228730003991,0.1266548054915053,0.3611111509393332,0.0916781318137441,6.722169275745093,2.0605427989561167,3.617263454500047,3.993752164100699,https://www.apartments.com/park-victoria-apartments-halifax-ns/37td95g/,apartments.com,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,"Wheelchair Accessible (Rooms), Laundry Facilities, Elevator, Balcony",,2024-03-25 02:33:03.260792
3,4,Park Victoria Apartments,Park Victoria Apartments,-1,"1333 South Park St , Halifax , NS B3J 2K9 – Halifax",44.6405701,-63.57821449999999,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,2640.0,Apartment,2,1,-1,0,0,1,0,"Wheelchair Accessible (Rooms), Laundry Facilities, Elevator, Balcony",0,101,79,0.1682822919032682,-1,-1,"5765 University Ave, Downtown Halifax, Halifax, NS, B3H 4K4",-1,-1,830,-1,-1,-1,-1,0.1713522658105867,0.260228730003991,0.1266548054915053,0.3611111509393332,0.0916781318137441,6.722169275745093,2.0605427989561167,3.617263454500047,3.993752164100699,https://www.apartments.com/park-victoria-apartments-halifax-ns/r4pek00/,apartments.com,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,"Wheelchair Accessible (Rooms), Laundry Facilities, Elevator, Balcony",,2024-03-25 02:33:03.261283
4,5,NEW BUILD - 2 Bedroom Lower Flat,NEW BUILD - 2 Bedroom Lower Flat,-1,"29 McIntosh St , Halifax , NS B3R 1G9 – Halifax",44.6025306,-63.60548579999999,https://images1.apartments.com/i2/e9XIsg9v-lxRhg9nSwJPAUdpce3F5si9Ojg7-qwEcgY/110/image.jpg,2250.0,Apartment,2,1,-1,0,0,0,0,,0,294,10,2.384033454400094,-1,-1,"920 Tower Rd, South End, Halifax, NS B3H 1K8",-1,-1,-1,-1,-1,-1,-1,0.986496047687554,0.3736465539818267,0.7366907528843124,3.2840013437171143,0.9214670577386644,7.786871035060325,3.289755629911919,4.464459366481252,5.265877256396143,https://www.apartments.com/new-build-2-bedroom-lower-flat-halifax-ns-unit-2/p9k4hnt/,apartments.com,https://images1.apartments.com/i2/e9XIsg9v-lxRhg9nSwJPAUdpce3F5si9Ojg7-qwEcgY/110/image.jpg,,,2024-03-25 02:33:03.261842
5,6,19 Twenty Apartments,19 Twenty Apartments,-1,"1920 Brunswick St , Halifax , NS B3J 0C5 – Halifax",44.6496482,-63.5784811,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,2029.0,Apartment,-1,1,-1,0,0,0,0,"Washer/Dryer, Wheelchair Accessible (Rooms), Dishwasher, Microwave, Range, Refrigerator, Elevator, Storage Space, Balcony",0,280,240,0.19821427730132055,-1,-1,"1725 Market St, Downtown Halifax, Halifax, NS B3J 3N9",-1,-1,507,-1,-1,-1,-1,0.4365128975085215,0.2852392863796755,0.1009034905177558,0.26824822360242057,0.1115908878471348,6.354435923242635,1.9571882089325936,3.4178757028282836,3.6623560252667877,https://www.apartments.com/19-twenty-apartments-halifax-ns/l04wf1e/,apartments.com,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,"Washer/Dryer, Wheelchair Accessible (Rooms), Dishwasher, Microwave, Range, Refrigerator, Elevator, Storage Space, Balcony",,2024-03-25 02:33:03.262411
6,7,19 Twenty Apartments,19 Twenty Apartments,-1,"1920 Brunswick St , Halifax , NS B3J 0C5 – Halifax",44.6496482,-63.5784811,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,2200.0,Apartment,1,1,-1,0,0,0,0,"Washer/Dryer, Wheelchair Accessible (Rooms), Dishwasher, Microwave, Range, Refrigerator, Elevator, Storage Space, Balcony",0,280,240,0.19821427730132055,-1,-1,"1725 Market St, Downtown Halifax, Halifax, NS B3J 3N9",-1,-1,700,-1,-1,-1,-1,0.4365128975085215,0.2852392863796755,0.1009034905177558,0.26824822360242057,0.1115908878471348,6.354435923242635,1.9571882089325936,3.4178757028282836,3.6623560252667877,https://www.apartments.com/19-twenty-apartments-halifax-ns/kel73z8/,apartments.com,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,"Washer/Dryer, Wheelchair Accessible (Rooms), Dishwasher, Microwave, Range, Refrigerator, Elevator, Storage Space, Balcony",,2024-03-25 02:33:03.262895
7,8,19 Twenty Apartments,19 Twenty Apartments,-1,"1920 Brunswick St , Halifax , NS B3J 0C5 – Halifax",44.6496482,-63.5784811,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,2725.0,Apartment,2,1,-1,0,0,0,0,"Washer/Dryer, Wheelchair Accessible (Rooms), Dishwasher, Microwave, Range, Refrigerator, Elevator, Storage Space, Balcony",0,280,240,0.19821427730132055,-1,-1,"1725 Market St, Downtown Halifax, Halifax, NS B3J 3N9",-1,-1,890,-1,-1,-1,-1,0.4365128975085215,0.2852392863796755,0.1009034905177558,0.26824822360242057,0.1115908878471348,6.354435923242635,1.9571882089325936,3.4178757028282836,3.6623560252667877,https://www.apartments.com/19-twenty-apartments-halifax-ns/7qt896z/,apartments.com,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,"Washer/Dryer, Wheelchair Accessible (Rooms), Dishwasher, Microwave, Range, Refrigerator, Elevator, Storage Space, Balcony",,2024-03-25 02:33:03.263402
8,316,Apartment for rent,-1,-1,"5515 Clyde St #0, Halifax, NS B3J 0K2",,,-1,3000.0,-1,1,1,-1,0,0,0,0,-1,0,-1,-1,-1.0,-1,-1,,-1,-1,-1,-1,-1,-1,-1,,,,-1.0,,-1.0,-1.0,-1.0,-1.0,https://www.zillow.com/homedetails/5515-Clyde-St-0-Halifax-NS-B3J-0K2/2055447629_zpid/,Zillow,-1,-1,,2024-03-25 02:40:11.090265
9,9,Halifax Apartments – Scotia Tower,Halifax Apartments – Scotia Tower,-1,"1991 Brunswick St , Halifax , NS B3J 2G9 – Halifax",44.6498362,-63.5779134,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,1895.0,Apartment,1,1,-1,0,0,1,0,"Refrigerator, Laundry Facilities, Elevator, Storage Space, Pool, Balcony",0,280,240,0.1945532436849655,-1,-1,"1725 Market St, Downtown Halifax, Halifax, NS B3J 3N9",-1,-1,659,-1,-1,-1,-1,0.4498090093950277,0.2568433585032927,0.0702418509318913,0.2792761122594524,0.0838559805894945,6.371136024068128,1.9853637750445752,3.442460598852932,3.681630237062277,https://www.apartments.com/halifax-apartments-scotia-tower-halifax-ns/tekg3s8/,apartments.com,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,"Refrigerator, Laundry Facilities, Elevator, Storage Space, Pool, Balcony",,2024-03-25 02:33:03.263869
