listing_name,building_name,apartment_number,address,add_lat,add_long,property_management_name,monthly_rent,property_type,bedroom_count,bathroom_count,utility_water,utility_heat,utility_electricity,utility_laundry,utility_wifi,included_appliances,parking_availability,parking_rates,parking_slots,parking_distance,parking_restrictions,parking_availability_status,pet_friendly,smoking_allowed,apartment_size,apartment_size_unit,is_furnished,lease_duration,availability_status,dist_hospital,dist_school,dist_restaurant,source,website,image,description,property_image,load_datetime,parking_address,dist_busstop,dist_downtown,dist_clayton_park,dist_rockingham,dist_larry_uteck_area,dist_central_halifax
The Cliffs at Dellridge,The Cliffs at Dellridge,-1,"81 Dellridge Ln , Bedford , NS B4A 4H6 – Bedford",44.7009604,-63.69002860000001,https://images1.apartments.com/i2/x1vMq99BZinsqHd_t_b91NUsiVbBO8WaoAmVadTOkXI/115/realstar-group-logo.jpg,-1.0,Apartment,2.0,1.0,-1,1,0,1,0,"Billiards, Heat and water included, Pet friendly, Hard Surface Flooring, Designer cabinetry, Energy Efficient Appliances, Resident events, Spacious 2-Bedroom + Den Suites, Air Conditioner, Two baths including one with shower, Custom blinds, Over-the-range microwave, Visitor parking, 100% smoke-free living, Ideal mature environment, In-suite Laundry, Pendent and recessed lighting, Beautifully landscaped grounds, In-suite Storage, Private Balcony/Patio, Secure entry, Package Service, 24 Hour Access, Guest Apartment, Clubhouse, Fitness Center, Waterfront",1,-1.0,-1,-1.0,-1,-1,-1,-1,750,-1,-1,-1,-1,1.2030399529630846,0.1884917862968676,0.0726483934224124,https://www.apartments.com/the-cliffs-at-dellridge-bedford-ns/c5l8yeg/,apartments.com,https://images1.apartments.com/i2/x1vMq99BZinsqHd_t_b91NUsiVbBO8WaoAmVadTOkXI/115/realstar-group-logo.jpg,"Billiards, Heat and water included, Pet friendly, Hard Surface Flooring, Designer cabinetry, Energy Efficient Appliances, Resident events, Spacious 2-Bedroom + Den Suites, Air Conditioner, Two baths including one with shower, Custom blinds, Over-the-range microwave, Visitor parking, 100% smoke-free living, Ideal mature environment, In-suite Laundry, Pendent and recessed lighting, Beautifully landscaped grounds, In-suite Storage, Private Balcony/Patio, Secure entry, Package Service, 24 Hour Access, Guest Apartment, Clubhouse, Fitness Center, Waterfront",,2024-03-25 02:33:03.256133,,0.3045065541791933,6.713952933586702,3.542774289791845,2.9251661177899497,0.18985726147876605,5.025186796268299
Lotus Point,Lotus Point,-1,"103 Ochterloney St , Dartmouth , NS B2Y 1C6 – Dartmouth",44.6683973,-63.5665261,https://images1.apartments.com/i2/CZpkA37fh4axG9QeyVss00nOnZGia1jHlS443gMFMGU/115/capreit-limited-partnership-logo.jpg,2750.0,Apartment,2.0,1.0,-1,0,0,0,0,"Storage Space, Fitness Center, Bicycle Storage, Roof Terrace",0,150.0,150,2128.8181530929915,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.2576846775331065,1.1361116346525706,0.5757784734912264,https://www.apartments.com/lotus-point-dartmouth-ns/be1mcgb/,apartments.com,https://images1.apartments.com/i2/CZpkA37fh4axG9QeyVss00nOnZGia1jHlS443gMFMGU/115/capreit-limited-partnership-logo.jpg,"Storage Space, Fitness Center, Bicycle Storage, Roof Terrace",,2024-03-25 02:33:03.260202,"1815 Upper Water St, Downtown Halifax, Halifax, NS, B3J 1S7",1.238048753230681,1.6571413701186177,3.966551877366983,3.878464284002701,6.315912732767055,2.8670530814666177
Park Victoria Apartments,Park Victoria Apartments,-1,"1333 South Park St , Halifax , NS B3J 2K9 – Halifax",44.6405701,-63.57821449999999,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,2110.0,Apartment,1.0,1.0,-1,0,0,1,0,"Wheelchair Accessible (Rooms), Laundry Facilities, Elevator, Balcony",0,101.5,79,270.8240967807733,-1,-1,-1,-1,614,-1,-1,-1,-1,0.1713522658105867,0.260228730003991,0.1266548054915053,https://www.apartments.com/park-victoria-apartments-halifax-ns/37td95g/,apartments.com,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,"Wheelchair Accessible (Rooms), Laundry Facilities, Elevator, Balcony",,2024-03-25 02:33:03.260792,"5765 University Ave, Downtown Halifax, Halifax, NS, B3H 4K4",0.0916781318137441,0.3611111509393332,3.617263454500047,3.993752164100699,6.722169275745093,2.0605427989561167
Park Victoria Apartments,Park Victoria Apartments,-1,"1333 South Park St , Halifax , NS B3J 2K9 – Halifax",44.6405701,-63.57821449999999,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,2640.0,Apartment,2.0,1.0,-1,0,0,1,0,"Wheelchair Accessible (Rooms), Laundry Facilities, Elevator, Balcony",0,101.5,79,270.8240967807733,-1,-1,-1,-1,830,-1,-1,-1,-1,0.1713522658105867,0.260228730003991,0.1266548054915053,https://www.apartments.com/park-victoria-apartments-halifax-ns/r4pek00/,apartments.com,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,"Wheelchair Accessible (Rooms), Laundry Facilities, Elevator, Balcony",,2024-03-25 02:33:03.261283,"5765 University Ave, Downtown Halifax, Halifax, NS, B3H 4K4",0.0916781318137441,0.3611111509393332,3.617263454500047,3.993752164100699,6.722169275745093,2.0605427989561167
NEW BUILD - 2 Bedroom Lower Flat,NEW BUILD - 2 Bedroom Lower Flat,-1,"29 McIntosh St , Halifax , NS B3R 1G9 – Halifax",44.6025306,-63.60548579999999,https://images1.apartments.com/i2/e9XIsg9v-lxRhg9nSwJPAUdpce3F5si9Ojg7-qwEcgY/110/image.jpg,2250.0,Apartment,2.0,1.0,-1,0,0,0,0,,0,294.0,10,3836.7299356380654,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.986496047687554,0.3736465539818267,0.7366907528843124,https://www.apartments.com/new-build-2-bedroom-lower-flat-halifax-ns-unit-2/p9k4hnt/,apartments.com,https://images1.apartments.com/i2/e9XIsg9v-lxRhg9nSwJPAUdpce3F5si9Ojg7-qwEcgY/110/image.jpg,,,2024-03-25 02:33:03.261842,"920 Tower Rd, South End, Halifax, NS B3H 1K8",0.9214670577386644,3.2840013437171143,4.464459366481252,5.265877256396143,7.786871035060325,3.289755629911919
19 Twenty Apartments,19 Twenty Apartments,-1,"1920 Brunswick St , Halifax , NS B3J 0C5 – Halifax",44.6496482,-63.5784811,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,2029.0,Apartment,-1.0,1.0,-1,0,0,0,0,"Washer/Dryer, Wheelchair Accessible (Rooms), Dishwasher, Microwave, Range, Refrigerator, Elevator, Storage Space, Balcony",0,280.0,240,318.99495788921644,-1,-1,-1,-1,507,-1,-1,-1,-1,0.4365128975085215,0.2852392863796755,0.1009034905177558,https://www.apartments.com/19-twenty-apartments-halifax-ns/l04wf1e/,apartments.com,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,"Washer/Dryer, Wheelchair Accessible (Rooms), Dishwasher, Microwave, Range, Refrigerator, Elevator, Storage Space, Balcony",,2024-03-25 02:33:03.262411,"1725 Market St, Downtown Halifax, Halifax, NS B3J 3N9",0.1115908878471348,0.26824822360242057,3.4178757028282836,3.6623560252667877,6.354435923242635,1.9571882089325936
19 Twenty Apartments,19 Twenty Apartments,-1,"1920 Brunswick St , Halifax , NS B3J 0C5 – Halifax",44.6496482,-63.5784811,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,2200.0,Apartment,1.0,1.0,-1,0,0,0,0,"Washer/Dryer, Wheelchair Accessible (Rooms), Dishwasher, Microwave, Range, Refrigerator, Elevator, Storage Space, Balcony",0,280.0,240,318.99495788921644,-1,-1,-1,-1,700,-1,-1,-1,-1,0.4365128975085215,0.2852392863796755,0.1009034905177558,https://www.apartments.com/19-twenty-apartments-halifax-ns/kel73z8/,apartments.com,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,"Washer/Dryer, Wheelchair Accessible (Rooms), Dishwasher, Microwave, Range, Refrigerator, Elevator, Storage Space, Balcony",,2024-03-25 02:33:03.262895,"1725 Market St, Downtown Halifax, Halifax, NS B3J 3N9",0.1115908878471348,0.26824822360242057,3.4178757028282836,3.6623560252667877,6.354435923242635,1.9571882089325936
19 Twenty Apartments,19 Twenty Apartments,-1,"1920 Brunswick St , Halifax , NS B3J 0C5 – Halifax",44.6496482,-63.5784811,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,2725.0,Apartment,2.0,1.0,-1,0,0,0,0,"Washer/Dryer, Wheelchair Accessible (Rooms), Dishwasher, Microwave, Range, Refrigerator, Elevator, Storage Space, Balcony",0,280.0,240,318.99495788921644,-1,-1,-1,-1,890,-1,-1,-1,-1,0.4365128975085215,0.2852392863796755,0.1009034905177558,https://www.apartments.com/19-twenty-apartments-halifax-ns/7qt896z/,apartments.com,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,"Washer/Dryer, Wheelchair Accessible (Rooms), Dishwasher, Microwave, Range, Refrigerator, Elevator, Storage Space, Balcony",,2024-03-25 02:33:03.263402,"1725 Market St, Downtown Halifax, Halifax, NS B3J 3N9",0.1115908878471348,0.26824822360242057,3.4178757028282836,3.6623560252667877,6.354435923242635,1.9571882089325936
Halifax Apartments – Scotia Tower,Halifax Apartments – Scotia Tower,-1,"1991 Brunswick St , Halifax , NS B3J 2G9 – Halifax",44.6498362,-63.5779134,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,1895.0,Apartment,1.0,1.0,-1,0,0,1,0,"Refrigerator, Laundry Facilities, Elevator, Storage Space, Pool, Balcony",0,280.0,240,313.10309540493716,-1,-1,-1,-1,659,-1,-1,-1,-1,0.4498090093950277,0.2568433585032927,0.0702418509318913,https://www.apartments.com/halifax-apartments-scotia-tower-halifax-ns/tekg3s8/,apartments.com,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,"Refrigerator, Laundry Facilities, Elevator, Storage Space, Pool, Balcony",,2024-03-25 02:33:03.263869,"1725 Market St, Downtown Halifax, Halifax, NS B3J 3N9",0.0838559805894945,0.2792761122594524,3.442460598852932,3.681630237062277,6.371136024068128,1.9853637750445752
Halifax Apartments – MacKeen Towers,Halifax Apartments – MacKeen Towers,-1,"2001 Brunswick St , Halifax , NS B3J 3L8 – Halifax",44.6505658,-63.57831969999999,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,1950.0,Apartment,1.0,1.0,-1,0,0,1,0,"Refrigerator, Laundry Facilities, Elevator, Storage Space, Pool, Balcony",0,280.0,240,400.0332348554506,-1,-1,-1,-1,741,-1,-1,-1,-1,0.4997833172611645,0.2367355314129667,0.0919100328401756,https://www.apartments.com/halifax-apartments-mackeen-towers-halifax-ns/yxkc3tr/,apartments.com,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,"Refrigerator, Laundry Facilities, Elevator, Storage Space, Pool, Balcony",,2024-03-25 02:33:03.264333,"1725 Market St, Downtown Halifax, Halifax, NS B3J 3N9",0.0704183714243946,0.33053852548965196,3.4126056792293804,3.6415648431859253,6.32741454367579,1.9669170611175173
Ocean Brook Apartments,Ocean Brook Apartments,-1,"40 Charlotte Ln , Halifax , NS B3M 4M1 – Halifax",44.6964016,-63.6631352,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,1985.0,Apartment,1.0,1.0,-1,0,0,1,0,"Washer/Dryer, Dishwasher, Range, Refrigerator, Laundry Facilities, Elevator, Playground, Balcony",0,0.0,144,6432.935492668871,-1,-1,-1,-1,900,-1,-1,-1,-1,0.268750534752719,0.7583557293965074,0.9903921879583596,https://www.apartments.com/ocean-brook-apartments-halifax-ns/gkg0drw/,apartments.com,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,"Washer/Dryer, Dishwasher, Range, Refrigerator, Laundry Facilities, Elevator, Playground, Balcony",,2024-03-25 02:33:03.264807,"Cobequid Terminal Lot, 50 Cobequid Rd, Halifax, NS B4C 2N2",0.1535909573165422,5.466590861054501,2.630047530772588,1.8238577081478686,1.2062451666852139,3.934681769693894
Ocean Brook Apartments,Ocean Brook Apartments,-1,"40 Charlotte Ln , Halifax , NS B3M 4M1 – Halifax",44.6964016,-63.6631352,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,2385.0,Apartment,2.0,1.0,-1,0,0,1,0,"Washer/Dryer, Dishwasher, Range, Refrigerator, Laundry Facilities, Elevator, Playground, Balcony",0,0.0,144,6432.935492668871,-1,-1,-1,-1,1470,-1,-1,-1,-1,0.268750534752719,0.7583557293965074,0.9903921879583596,https://www.apartments.com/ocean-brook-apartments-halifax-ns/dj0sqql/,apartments.com,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,"Washer/Dryer, Dishwasher, Range, Refrigerator, Laundry Facilities, Elevator, Playground, Balcony",,2024-03-25 02:33:03.266011,"Cobequid Terminal Lot, 50 Cobequid Rd, Halifax, NS B4C 2N2",0.1535909573165422,5.466590861054501,2.630047530772588,1.8238577081478686,1.2062451666852139,3.934681769693894
Cunard Court – Lowrise,Cunard Court – Lowrise,-1,"2077-2077 Brunswick St , Halifax , NS B3K 2Y4 – Halifax",44.6526424,-63.58083439999999,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,1995.0,Apartment,1.0,1.0,-1,0,0,1,0,"Washer/Dryer, Dishwasher, Refrigerator, Laundry Facilities, Storage Space",0,150.0,150,696.9704857618208,-1,-1,-1,-1,620,-1,-1,-1,-1,0.6551849667906477,0.1591757704817569,0.2727534147736707,https://www.apartments.com/cunard-court-lowrise-halifax-ns/g4mm29x/,apartments.com,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,"Washer/Dryer, Dishwasher, Refrigerator, Laundry Facilities, Storage Space",,2024-03-25 02:33:03.266548,"1815 Upper Water St, Downtown Halifax, Halifax, NS, B3J 1S7",0.2290125389289595,0.4958064370356893,3.264919365159046,3.468541688714382,6.146643741968837,1.8553842694149165
The Macdonald,The Macdonald,-1,"5885 Cunard St , Halifax , NS B3K 1E3 – Halifax",44.6513252,-63.5915036,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,2050.0,Apartment,1.0,1.0,-1,0,0,0,0,,0,62.0,29,737.1090510629658,-1,-1,-1,-1,760,-1,-1,-1,-1,0.5212509718924114,0.3835902507941583,0.3207935389738751,https://www.apartments.com/the-macdonald-halifax-ns/7py88yz/,apartments.com,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,,,2024-03-25 02:33:03.267009,"Halifax Infirmary, 1796 Summer St South End, Halifax, NS B3H 3A7",0.3207935389738751,0.7752151377488302,2.7662244832828815,3.042229376114202,5.75592000123021,1.3225252424145881
The Macdonald,The Macdonald,-1,"5885 Cunard St , Halifax , NS B3K 1E3 – Halifax",44.6513252,-63.5915036,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,2495.0,Apartment,2.0,1.0,-1,0,0,0,0,,0,62.0,29,737.1090510629658,-1,-1,-1,-1,961,-1,-1,-1,-1,0.5212509718924114,0.3835902507941583,0.3207935389738751,https://www.apartments.com/the-macdonald-halifax-ns/rmtlkm1/,apartments.com,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,,,2024-03-25 02:33:03.267429,"Halifax Infirmary, 1796 Summer St South End, Halifax, NS B3H 3A7",0.3207935389738751,0.7752151377488302,2.7662244832828815,3.042229376114202,5.75592000123021,1.3225252424145881
NEW BUILD - 3 Bedroom Upper Flat,NEW BUILD - 3 Bedroom Upper Flat,-1,"33 McIntosh St , Halifax , NS B3R 1G9 – Halifax",44.6028163,-63.6052073,https://images1.apartments.com/i2/e9XIsg9v-lxRhg9nSwJPAUdpce3F5si9Ojg7-qwEcgY/110/image.jpg,2600.0,Apartment,3.0,1.0,-1,0,0,0,0,,0,294.0,10,3798.0457920773233,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.982596422679844,0.3655620999655931,0.7338884528288396,https://www.apartments.com/new-build-3-bedroom-upper-flat-halifax-ns-unit-1/lm5vx8g/,apartments.com,https://images1.apartments.com/i2/e9XIsg9v-lxRhg9nSwJPAUdpce3F5si9Ojg7-qwEcgY/110/image.jpg,,,2024-03-25 02:33:03.267857,"920 Tower Rd, South End, Halifax, NS B3H 1K8",1.1586745706304398,3.2603529262963784,4.453064099484655,5.2526505780796455,7.77713965427293,3.273048141395982
Barrington Terrace,Barrington Terrace,-1,"1070 Barrington St , Halifax , NS B3H 2R1 – Halifax",44.637611,-63.5699947,https://images1.apartments.com/i2/vKjvGcvAByilUh4-uQZuJXm3BDPjn62jHiYN4PdoF3g/115/metcap-living-logo.jpg,3295.0,Apartment,3.0,1.0,-1,1,0,0,0,"Air Conditioning, Heating, Tub/Shower, Oven, Range",0,700.0,75,185.03463393979163,-1,-1,-1,-1,1139,-1,-1,-1,-1,0.2163499136990385,0.4553090195616763,0.4176052504250814,https://www.apartments.com/barrington-terrace-halifax-ns/74s040y/,apartments.com,https://images1.apartments.com/i2/vKjvGcvAByilUh4-uQZuJXm3BDPjn62jHiYN4PdoF3g/115/metcap-living-logo.jpg,"Air Conditioning, Heating, Tub/Shower, Oven, Range",,2024-03-25 02:33:03.285724,"5280 Green St South End, Halifax, NS B3H 1N7",0.1949620700953293,0.6840363104846525,4.069777489076803,4.443757732166555,7.169345478111749,2.509024551057453
Halifax Apartments – The Plaza,Halifax Apartments – The Plaza,-1,"1881 Brunswick St , Halifax , NS B3J 3L8 – Halifax",44.6492461,-63.57765449999999,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,2250.0,Apartment,1.0,1.0,-1,0,0,1,0,"Dishwasher, Range, Refrigerator, Laundry Facilities, Elevator, Storage Space, Pool, Balcony",0,280.0,240,245.67371531215244,-1,-1,-1,-1,768,-1,-1,-1,-1,0.4098969359420701,0.2816903173480375,0.0821775127553599,https://www.apartments.com/halifax-apartments-the-plaza-halifax-ns/fr4v6fv/,apartments.com,https://images1.apartments.com/i2/CVV1klyaKFdpfs6idmBxNZfAPxZAZfP-383OadbhtTk/110/image.jpg,"Dishwasher, Range, Refrigerator, Laundry Facilities, Elevator, Storage Space, Pool, Balcony",,2024-03-25 02:33:03.268296,"1725 Market St, Downtown Halifax, Halifax, NS B3J 3N9",0.1150573924458215,0.2386290955889617,3.463687665903247,3.7112287110875175,6.403715971733036,1.9977976239003885
